Date,Close/Last,Volume,Open,High,Low
04/22/2015,56.16,315298,56.34,57.19,55.73
04/21/2015,55.26,26750,56.41,56.91,55.01
04/20/2015,56.38,74169,56.16,57.17,54.85
04/17/2015,55.74,210893,56.56,56.88,55.31
04/16/2015,56.71,395546,55.92,57.42,55.07
04/15/2015,56.39,491002,53.55,56.69,53.39
04/14/2015,53.29,376895,52.05,53.79,51.83
04/13/2015,51.91,334552,51.81,53.10,51.47
04/10/2015,51.64,343779,50.73,51.93,50.08
04/09/2015,50.79,398330,51.00,52.07,50.51
04/08/2015,50.42,478752,53.18,53.23,50.37
04/07/2015,53.98,498933,53.23,54.13,51.17
04/06/2015,52.14,296538,49.47,52.24,49.47
04/03/2015,49.14,N/A,49.14,49.14,49.14
04/02/2015,49.14,423991,49.59,50.27,48.11
04/01/2015,50.09,425828,47.55,50.45,47.05
03/31/2015,47.60,346578,48.73,48.73,47.28
03/30/2015,48.68,337982,48.57,49.16,47.61
03/27/2015,48.87,353017,51.01,51.38,48.21
03/26/2015,51.43,488766,49.02,52.48,48.73
03/25/2015,49.21,379066,47.72,49.46,47.00
03/24/2015,47.51,296235,47.46,48.56,46.67
03/23/2015,47.45,276657,46.41,47.61,45.33
03/20/2015,45.72,22381,43.99,46.53,43.31
03/19/2015,43.96,73742,44.60,44.71,42.75
03/18/2015,44.66,209954,42.51,45.34,42.03
03/17/2015,43.46,325669,43.84,44.20,42.41
03/16/2015,43.88,337993,44.81,45.00,42.85
03/13/2015,44.84,367328,46.93,47.28,44.75
03/12/2015,47.05,332303,48.44,48.76,46.86
03/11/2015,48.17,358405,48.77,49.05,47.33
03/10/2015,48.29,348278,50.08,50.36,48.20
03/09/2015,50.00,369997,49.60,50.79,49.25
03/06/2015,49.61,360829,50.89,51.22,48.88
03/05/2015,50.76,348501,51.62,52.40,50.61
03/04/2015,51.53,442985,50.61,51.99,49.60
03/03/2015,50.52,353443,49.80,50.83,49.45
03/02/2015,49.59,402627,49.45,51.04,48.71
02/27/2015,49.76,367880,48.97,49.94,48.46
02/26/2015,48.17,436353,51.00,51.22,47.80
02/25/2015,50.99,411975,49.16,51.28,48.43
02/24/2015,49.28,278629,49.42,50.33,48.68
02/23/2015,49.45,452136,50.75,50.99,48.67
02/20/2015,50.34,25700,51.24,51.85,49.91
02/19/2015,51.16,87892,50.49,52.14,49.15
02/18/2015,52.14,243750,53.23,53.41,50.32
02/17/2015,53.53,482343,52.74,54.15,50.81
02/16/2015,52.78,N/A,52.78,52.78,52.78
02/13/2015,52.78,402874,51.35,53.43,51.03
02/12/2015,51.21,515538,49.42,51.60,49.14
02/11/2015,48.84,474167,50.98,51.14,48.05
02/10/2015,50.02,448294,52.43,52.65,49.86
02/09/2015,52.86,482422,52.01,53.99,51.65
02/06/2015,51.69,532369,50.86,53.16,50.72
02/05/2015,50.48,564379,48.67,52.10,47.36
02/04/2015,48.45,543357,48.58,52.56,47.95
02/03/2015,53.05,606584,49.79,54.24,49.69
02/02/2015,49.57,486336,49.78,50.56,46.67
01/30/2015,48.24,426878,44.63,48.35,44.31
01/29/2015,44.53,279655,44.43,44.96,43.58
01/28/2015,44.45,346639,45.83,45.83,44.08
01/27/2015,46.23,297056,45.13,46.55,44.81
01/26/2015,45.15,290293,45.20,46.41,44.35
01/23/2015,45.59,351583,46.63,47.76,45.21
01/22/2015,46.31,405313,47.35,49.09,45.87
01/21/2015,47.78,318329,46.69,48.20,46.55
01/20/2015,46.39,42233,47.53,48.77,45.89
01/19/2015,48.69,N/A,48.69,48.69,48.69
01/16/2015,48.69,142068,46.35,48.87,45.95
01/15/2015,46.25,456084,48.60,51.27,46.07
01/14/2015,48.48,468212,46.16,48.91,45.01
01/13/2015,45.89,442885,45.69,46.79,44.20
01/12/2015,46.07,361985,48.19,48.19,45.62
01/09/2015,48.36,375538,48.92,49.61,47.16
01/08/2015,48.79,325784,48.78,49.65,47.73
01/07/2015,48.65,426805,48.00,49.31,46.83
01/06/2015,47.93,419016,50.00,50.37,47.55
01/05/2015,50.04,354292,51.69,52.14,49.68
01/02/2015,52.69,251836,53.76,55.11,52.03
01/01/2015,53.27,N/A,53.27,53.27,53.27
12/31/2014,53.27,217934,53.87,54.02,52.44
12/30/2014,54.12,204110,53.72,54.32,52.70
12/29/2014,53.61,228653,55.05,55.74,52.90
12/26/2014,54.73,115629,55.86,56.59,54.51
12/25/2014,55.84,N/A,55.84,55.84,55.84
12/24/2014,55.84,163374,56.80,57.15,55.07
12/23/2014,57.12,260656,55.39,57.56,55.06
12/22/2014,55.26,263359,57.68,58.53,55.13
12/19/2014,56.52,23597,55.50,56.91,54.20
12/18/2014,54.11,72767,55.83,58.73,54.05
12/17/2014,56.47,336242,55.50,58.98,54.21
12/16/2014,55.93,485637,55.40,57.15,53.60
12/15/2014,55.91,402191,57.07,58.73,55.02
12/12/2014,57.81,375959,59.17,59.57,57.34
12/11/2014,59.95,360646,61.12,61.68,58.96
12/10/2014,60.94,420650,63.33,63.43,60.43
12/09/2014,63.82,295690,63.01,64.20,62.25
12/08/2014,63.05,299563,65.46,65.55,62.78
12/05/2014,65.84,245622,66.80,66.89,65.17
12/04/2014,66.81,219167,67.40,68.22,66.09
12/03/2014,67.38,273108,67.60,68.23,66.80
12/02/2014,66.88,344221,69.24,69.32,66.67
12/01/2014,69.00,483237,66.00,69.54,63.72
11/28/2014,66.15,527868,68.93,73.56,65.69
11/27/2014,73.69,N/A,73.69,73.69,73.69
11/26/2014,73.69,295,73.50,73.56,73.45
11/25/2014,74.09,281943,75.51,76.58,73.71
11/24/2014,75.78,185087,76.62,77.02,75.45
11/21/2014,76.51,261783,76.29,77.83,75.62
11/20/2014,75.58,23747,74.25,75.76,74.17
11/19/2014,74.58,77144,74.23,75.40,73.88
11/18/2014,74.61,165433,75.49,76.44,74.12
11/17/2014,75.64,251799,75.93,76.18,74.71
11/14/2014,75.82,323848,74.36,76.30,73.25
11/13/2014,74.21,421244,76.95,77.16,74.07
11/12/2014,77.18,334442,77.50,78.08,76.63
11/11/2014,77.94,289559,77.18,78.04,76.42
11/10/2014,77.40,297941,78.50,79.85,77.13
11/07/2014,78.65,284300,77.86,79.41,77.47
11/06/2014,77.91,273349,78.87,78.98,77.12
11/05/2014,78.68,430903,77.36,79.35,76.46
11/04/2014,77.19,414167,78.22,78.41,75.84
11/03/2014,78.78,370902,80.59,80.98,78.08
10/31/2014,80.54,277900,81.04,81.27,79.55
